,商品名称,商品编号,商品毛重,商品产地,电源尺寸,接线类型,电源功率,适用场景,转换效率,型号,输入电压,支持温控,额定功率,产品尺寸（mm）,产品净重（kg）,6pin PCI-E接口,峰值,支持宽幅,安全认证,质保期,店铺,风扇启停,品牌,类型,风扇,SATA接口数量,CPU 12V供电接口,D型4pin接口,8pin PCI-E接口,主电源接口,PFC,电源线长,货号
10,美商海盗船RMX7502018款,6757755,3.28kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,RM750X2018款,100-240V,支持温控,750W,160*150*86,1.659,4个,750W,支持宽幅,CCC认证,10年,,支持风扇启停,海盗船CORSAIR,ATX电源,13.5cm,9个,2个,8个,4个,20+4pin,主动式PFC,610mm,CP-9020179-CN
11,长城G7GW-ATX750BL,8025804,2.84kg,深圳,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,G7GW-ATX750BL,100-240V,支持温控,750W,150X160X86,净重2.82kg,0个,850W,支持宽幅,CCC认证,7年,,不支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,6个,20+4pin,主动式PFC,1.5M,6.92E+12
12,长城G7GW-ATX750BL,8025804,2.84kg,深圳,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,G7GW-ATX750BL,100-240V,支持温控,750W,150X160X86,净重2.82kg,0个,850W,支持宽幅,CCC认证,7年,,不支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,6个,20+4pin,主动式PFC,1.5M,6.92E+12
13,长城G7GW-ATX750BL,8025804,2.84kg,深圳,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,G7GW-ATX750BL,100-240V,支持温控,750W,150X160X86,净重2.82kg,0个,850W,支持宽幅,CCC认证,7年,,不支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,6个,20+4pin,主动式PFC,1.5M,6.92E+12
14,长城G7GW-ATX750BL,8025804,2.84kg,深圳,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,G7GW-ATX750BL,100-240V,支持温控,750W,150X160X86,净重2.82kg,0个,850W,支持宽幅,CCC认证,7年,,不支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,6个,20+4pin,主动式PFC,1.5M,6.92E+12
15,美商海盗船RMX7502018款,6757755,3.28kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,RM750X2018款,100-240V,支持温控,750W,160*150*86,1.659,4个,750W,支持宽幅,CCC认证,10年,,支持风扇启停,海盗船CORSAIR,ATX电源,13.5cm,9个,2个,8个,4个,20+4pin,主动式PFC,610mm,CP-9020179-CN
16,长城PRIME550额定450W500W550W650W电脑电源台式主机电源PRIME650额定650W白牌,27078284933,3.8kg,,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,白牌（80%）,,220V,不支持温控,,,1.77kg,,,不支持宽幅,CCC认证,3年,和煦电脑DIY专营店,,,,,,,,,,,,
17,长城（GreatWall）金牌全模电脑电源650W750W850W1100W1300WGX金牌全模组额定850W金牌系列,10024548653720,1.5kg,中国大陆,标准电源（ATX）,全模组化,900W以上,大型游戏/电竞，一般家用/办公，矿机,金牌（90%）,,100-240V,支持温控,1300W,长150mm；宽150mm；高86mm,2.9,8个,1300W,支持宽幅,CCC认证,7年,方度电脑专营店,支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,8个,20+4pin,主动式PFC,1.5m,
18,长城（GreatWall）PRIME系列电源80Puls认证电源台式机主机箱电脑节能静音游戏电源PRIME550白牌额定550W,10025823671883,3.8kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞,白牌（80%）,PRIME650,220V,支持温控,650W,150*140*86mm,3.8,,,不支持宽幅,CCC认证,3年,云颀电脑配件专营店,,长城GreatWall,,,,,,,20+4pin,,,
19,华硕（ASUS）TUF-GAMING-750,10023684500814,2.7kg,,标准电源（ATX）,非模组化,501W-700W,一般家用/办公,铜牌（85%）,TUF-750B-GAMING,+3.3V+5V+12V-12V+5Vsb,支持温控,,,2.18,0个,,支持宽幅,CCC认证；CB认证,6年,,支持风扇启停,,,13.5cm,8个,2个,0个,0个,,,无,90YE00D0-B0CA00
20,长城（GreatWall）GW-ATX850BL(盒线）,10034637011027,3.0kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞，矿机,金牌（90%）,GW-ATX850BL(盒线）,220V,支持温控,850W,,3,0个,,支持宽幅,CCC认证,7年,京会智显官方旗舰店,支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,6个,20+4pin,,,
21,长城G7GW-ATX750BL,8025804,2.84kg,深圳,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,G7GW-ATX750BL,100-240V,支持温控,750W,150X160X86,净重2.82kg,0个,850W,支持宽幅,CCC认证,7年,,不支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,6个,20+4pin,主动式PFC,1.5M,6.92E+12
22,华硕ROGSTRIX850W,100013110014,3.28kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞，一般家用/办公,金牌（90%）,ROG-STRIX-850G,100~240v,支持温控,850W,,1.82KG,6个,850W,支持宽幅,CCC认证；FCC认证；CE认证；RoHS认证,10年,,支持风扇启停,,ATX电源,13.5cm,8个,2个,3个,6个,20+4pin,主动式PFC,1.5米,
23,长城（GreatWall）金牌全模电脑电源650W750W850W1100W1300WGX金牌全模组额定850W金牌系列,10024548653720,1.5kg,中国大陆,标准电源（ATX）,全模组化,900W以上,大型游戏/电竞，一般家用/办公，矿机,金牌（90%）,,100-240V,支持温控,1300W,长150mm；宽150mm；高86mm,2.9,8个,1300W,支持宽幅,CCC认证,7年,方度电脑专营店,支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,8个,20+4pin,主动式PFC,1.5m,
24,长城G6GW-ATX650BL,7299684,2.55kg,深圳,标准电源（ATX）,全模组化,501W-700W,大型游戏/电竞,金牌（90%）,G6GW-ATX650BL(90+),100-240V,支持温控,650W,150X160X86mm,净重2.53kg,0个,750W,支持宽幅,CCC认证,7年,,不支持风扇启停,长城GreatWall,ATX电源,14cm,6个,2个,3个,2个,20+4pin,主动式PFC,1.5M,6.92E+12
25,长城（GreatWall）GW-ATX850BL(盒线）,10034637011027,3.0kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞，矿机,金牌（90%）,GW-ATX850BL(盒线）,220V,支持温控,850W,,3,0个,,支持宽幅,CCC认证,7年,京会智显官方旗舰店,支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,6个,20+4pin,,,
26,长城（GreatWall）GW-ATX850BL(盒线）,10034637011027,3.0kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞，矿机,金牌（90%）,GW-ATX850BL(盒线）,220V,支持温控,850W,,3,0个,,支持宽幅,CCC认证,7年,京会智显官方旗舰店,支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,6个,20+4pin,,,
27,华硕（ASUS）TUF-GAMING-750,10023684500814,2.7kg,,标准电源（ATX）,非模组化,501W-700W,一般家用/办公,铜牌（85%）,TUF-750B-GAMING,+3.3V+5V+12V-12V+5Vsb,支持温控,,,2.18,0个,,支持宽幅,CCC认证；CB认证,6年,,支持风扇启停,,,13.5cm,8个,2个,0个,0个,,,无,90YE00D0-B0CA00
28,长城（GreatWall）GW-ATX850BL(盒线）,10034637011027,3.0kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞，矿机,金牌（90%）,GW-ATX850BL(盒线）,220V,支持温控,850W,,3,0个,,支持宽幅,CCC认证,7年,京会智显官方旗舰店,支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,6个,20+4pin,,,
29,全汉FSP600-50YT,100006670415,1.87kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞，一般家用/办公,铜牌（85%）,FSP600-50YT,200-240Vac,支持温控,600W,140X150X86,1.44kg,,,支持宽幅,CCC认证,5年,,,全汉FSP,ATX电源,12cm,5个,2个,4个,2个,20+4pin,主动式PFC,20+4Pin长为500mm,
30,长城PRIME550额定450W500W550W650W电脑电源台式主机电源PRIME650额定650W白牌,27078284933,3.8kg,,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,白牌（80%）,,220V,不支持温控,,,1.77kg,,,不支持宽幅,CCC认证,3年,和煦电脑DIY专营店,,,,,,,,,,,,
31,长城PRIME550额定450W500W550W650W电脑电源台式主机电源PRIME650额定650W白牌,27078284933,3.8kg,,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,白牌（80%）,,220V,不支持温控,,,1.77kg,,,不支持宽幅,CCC认证,3年,和煦电脑DIY专营店,,,,,,,,,,,,
32,长城G7GW-ATX750BL,8025804,2.84kg,深圳,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,G7GW-ATX750BL,100-240V,支持温控,750W,150X160X86,净重2.82kg,0个,850W,支持宽幅,CCC认证,7年,,不支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,6个,20+4pin,主动式PFC,1.5M,6.92E+12
33,长城G7GW-ATX750BL,8025804,2.84kg,深圳,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,G7GW-ATX750BL,100-240V,支持温控,750W,150X160X86,净重2.82kg,0个,850W,支持宽幅,CCC认证,7年,,不支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,6个,20+4pin,主动式PFC,1.5M,6.92E+12
34,华硕ROGSTRIX750G,100004040003,3.16kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞，一般家用/办公,金牌（90%）,ROG-STRIX-750G,100-240Vac,支持温控,750W,长160mm；宽150mm；高86mm,3.14KG,4个,,支持宽幅,CCC认证；CE认证；RoHS认证,10年,,支持风扇启停,,ATX电源,13.5cm,8个,2个,4个,4个,20+4pin,主动式PFC,1.5米,
35,,69884942435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,长城（GreatWall）神威,68700761727,1.0kg,中国大陆,标准电源（ATX）,非模组化,301-500W,一般家用/办公,其他,长城GW-4000SW,180-240V,支持温控,300W,86*140*150,1,1个,400W,支持宽幅,CCC认证,3年,方度电脑专营店,,长城GreatWall,,12cm,3个,1个,2个,,,,1.5,
37,长城G7GW-ATX750BL,8025804,2.84kg,深圳,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,G7GW-ATX750BL,100-240V,支持温控,750W,150X160X86,净重2.82kg,0个,850W,支持宽幅,CCC认证,7年,,不支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,6个,20+4pin,主动式PFC,1.5M,6.92E+12
38,美商艾湃电竞（Apexgaming）金牌全模组电源全日系电容14cm静音风扇台式机电源AJ-750M额定750W旗舰型金牌全模组,10029259179987,1.0kg,,标准电源（ATX）,全模组化,501W-700W,,金牌（90%）,,100-240Vac,支持温控,750W,长160mm；宽150mm；高86mm,160x150x86mm,,,支持宽幅,CCC认证；FCC认证；CE认证；CB认证,10年,高德伟业电脑专营店,,,ATX电源,,,,,,,主动式PFC,300-445mm,
39,长城（GreatWall）金牌全模电脑电源650W750W850W1100W1300WGX金牌全模组额定850W金牌系列,10024548653720,1.5kg,中国大陆,标准电源（ATX）,全模组化,900W以上,大型游戏/电竞，一般家用/办公，矿机,金牌（90%）,,100-240V,支持温控,1300W,长150mm；宽150mm；高86mm,2.9,8个,1300W,支持宽幅,CCC认证,7年,方度电脑专营店,支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,8个,20+4pin,主动式PFC,1.5m,
40,长城G7GW-ATX750BL,8025804,2.84kg,深圳,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,G7GW-ATX750BL,100-240V,支持温控,750W,150X160X86,净重2.82kg,0个,850W,支持宽幅,CCC认证,7年,,不支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,6个,20+4pin,主动式PFC,1.5M,6.92E+12
41,长城PRIME550额定450W500W550W650W电脑电源台式主机电源PRIME650额定650W白牌,27078284933,3.8kg,,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,白牌（80%）,,220V,不支持温控,,,1.77kg,,,不支持宽幅,CCC认证,3年,和煦电脑DIY专营店,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,长城G7GW-ATX750BL,8025804,2.84kg,深圳,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,G7GW-ATX750BL,100-240V,支持温控,750W,150X160X86,净重2.82kg,0个,850W,支持宽幅,CCC认证,7年,,不支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,6个,20+4pin,主动式PFC,1.5M,6.92E+12
44,全汉FSP600-50YT,100006670415,1.87kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞，一般家用/办公,铜牌（85%）,FSP600-50YT,200-240Vac,支持温控,600W,140X150X86,1.44kg,,,支持宽幅,CCC认证,5年,,,全汉FSP,ATX电源,12cm,5个,2个,4个,2个,20+4pin,主动式PFC,20+4Pin长为500mm,
45,技嘉（GIGABYTE）额定650WGP-P650B电源80PLUS铜牌主机电源,17211903953,1.0kg,,标准电源（ATX）,,501W-700W,大型游戏/电竞，一般家用/办公,铜牌（85%）,P650B,100-240Vac,支持温控,650W,150x140x86mm,3kg,2个,,支持宽幅,CCC认证；CE认证；BSMI认证；KC认证；EAC认证；UL认证；TUV认证；RCM认证；FCC认证,3年,灵竞DIY旗舰店,支持风扇启停,,ATX电源,12cm,6个,1个,3个,2个,20+4pin,主动式PFC,600mm,
46,长城（GreatWall）G13金牌全模组,10031998752332,2.92kg,中国大陆,标准电源（ATX）,全模组化,900W以上,大型游戏/电竞，矿机,金牌（90%）,G13金牌全模组,100-240V,支持温控,1300W,长150mm；宽150mm；高86mm,2.3,,,支持宽幅,CCC认证,7年,长城浩鼎伟业专卖店,支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,,20+4pin,主动式PFC,1.5M,
47,美商海盗船RM650X/750X/850X/1000X主机电脑ATX台式静音金牌全模组电源RM650x金牌全模组额定650W,11190461034,1.5kg,中国大陆,标准电源（ATX）,全模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,RM650/750/850/1000,100-240V,支持温控,750W,160mmx150mmx86mm,1.525kg,2个,,支持宽幅,CCC认证,10年,灵竞DIY旗舰店,支持风扇启停,海盗船CORSAIR,ATX电源,13.5cm,9个,2个,8个,4个,20+4pin,主动式PFC,610mm,
48,长城（GreatWall）G13金牌全模组,10031998752332,2.92kg,中国大陆,标准电源（ATX）,全模组化,900W以上,大型游戏/电竞，矿机,金牌（90%）,G13金牌全模组,100-240V,支持温控,1300W,长150mm；宽150mm；高86mm,2.3,,,支持宽幅,CCC认证,7年,长城浩鼎伟业专卖店,支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,,20+4pin,主动式PFC,1.5M,
49,酷冷至尊新雷霆铜牌500W电脑电源额定500瓦台式机主机箱电源支持背线主机铜牌,52404005106,2.3kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,铜牌（85%）,MPE-5001-ACABW,200-240V,支持温控,500W,,1.4,0个,,不支持宽幅,CCC认证；CE认证,3年,PC大佬DIY电脑旗舰店,不支持风扇启停,酷冷至尊COOLERMASTER,ATX电源,12cm,6个,1个,3个,2个,20+4pin,主动式PFC,1.5米,
50,,100014300382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,全汉额定450W电源,1688328,1.98kg,中国大陆,标准电源（ATX）,非模组化,301-500W,一般家用/办公,铜牌（85%）,FSP450-50YD,200~240Vac,支持温控,450W,,1.54kg,1个,,支持宽幅,CCC认证,5年,,支持风扇启停,PLUS450,ATX电源,12cm,5个,1个,3个,1个,20+4pin,主动式PFC,20+4Pin长为450mm，4+4Pin长为600mm,
52,酷冷至尊GXII650,225544,2.37kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞,铜牌（85%）,GX650,100~240V,支持温控,650W,150x140x86(mm),1.81KG,,,支持宽幅,CCC认证,5年,,不支持风扇启停,,,,,,,,,主动式PFC,150CM,
53,艾湃电竞AN-650M,100025703282,2.8kg,中国大陆,标准电源（ATX）,全模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,STG-650M,100-240Vac,支持温控,650W,,2.0kg,,,支持宽幅,CCC认证；FCC认证；CE认证；cTUVus认证；RCM认证；TUV认证；BSMI认证；CB认证,7年,,,,,14cm,4个,2个,,3个,20+4pin,主动式PFC,600mm,
54,全汉额定450W电源,1688328,1.98kg,中国大陆,标准电源（ATX）,非模组化,301-500W,一般家用/办公,铜牌（85%）,FSP450-50YD,200~240Vac,支持温控,450W,,1.54kg,1个,,支持宽幅,CCC认证,5年,,支持风扇启停,PLUS450,ATX电源,12cm,5个,1个,3个,1个,20+4pin,主动式PFC,20+4Pin长为450mm，4+4Pin长为600mm,
55,长城HOPE-6000DS,876229,1.7kg,中国大陆,标准电源（ATX）,非模组化,301-500W,一般家用/办公,其他,HOPE-6000DS,180-240V,支持温控,500W,150X140X86mm,1.36KG,,600W,支持宽幅,CCC认证,3年,,不支持风扇启停,长城GreatWall,ATX电源,12cm,4个,2个,2个,2个,20+4pin,主动式PFC,1.5m,
56,鑫谷核动力-超级战舰S7,819707,1.78kg,中国大陆,标准电源（ATX）,非模组化,301-500W,一般家用/办公,其他,核动力-超级战舰S7,170-264V,支持温控,400W,150*140*86mm,1.70KG,,500W,支持宽幅,CCC认证,3年,,,鑫谷Segotep,ATX电源,12cm,3个,1个,3个,2个,20+4pin,被动式PFC,主板24pin供电线材长550mm，CPU供电线材长600mm，支持中、全塔机箱背线,
57,Thermaltake（Tt）W0437,5239018,1.9kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞,金牌（90%）,TR2-500,100——240Vac,支持温控,500W,140*150*86mm,1.55kg,2个,600W,支持宽幅,CCC认证,5年,,,TT,ATX电源,12cm,4个,,,,20+4pin,,1.5m,
58,,100023428524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,酷冷至尊（CoolerMaster）雷霆铜牌,66143287389,100.00g,,标准电源（ATX）,非模组化,301-500W,机箱电源套装，一般家用/办公,铜牌（85%）,雷霆铜牌,200-240V,支持温控,,长140mm；宽150mm；高86mm,1.2,1个,,不支持宽幅,CCC认证,3年,星辰聚官方旗舰店,支持风扇启停,酷冷至尊COOLERMASTER,,12cm,4个,1个,0个,1个,,,看参数,
61,全汉蓝暴炫动Ⅱ代600W,8474237,1.88kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞,白牌（80%）,ATX600-55HYN,200-240Vac,支持温控,600W,140×150×86mm,1.44kg,,,支持宽幅,CCC认证,3年,,,全汉FSP,ATX电源,12cm,,2个,,2个,20+4pin,主动式PFC,24Pin长为500mm,
62,美商海盗船RM650X/750X/850X/1000X主机电脑ATX台式静音金牌全模组电源RM750X金牌全模组【白色限量版】,40848958830,1.5kg,中国大陆,标准电源（ATX）,全模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,RM650/750/850/1000,100-240V,支持温控,750W,160mmx150mmx86mm,1.525KG,2个,,支持宽幅,CCC认证,10年,灵竞DIY旗舰店,支持风扇启停,海盗船CORSAIR,ATX电源,13.5cm,9个,2个,8个,4个,20+4pin,主动式PFC,610mm,
63,酷冷至尊GXII550,225549,2.16kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞,铜牌（85%）,RS550-ACAAB3-CN,100~240V,支持温控,550W,150x140x86mm,1.63KG,,,支持宽幅,CCC认证,5年,,不支持风扇启停,,,,,,,,,主动式PFC,150CM,
64,酷冷至尊金牌全模组电源（550W650W750W850w1000w+可选）宽幅ATX机箱电源全模组550w金牌80plusMWE550V2,25565775081,2.32kg,中国大陆,标准电源（ATX）,全模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,,100～240Vac,支持温控,,,2.9,2个,,支持宽幅,CCC认证；CE认证,3年,PC大佬DIY电脑旗舰店,不支持风扇启停,酷冷至尊COOLERMASTER,ATX电源,12cm,8个,2个,4个,2个,20+4pin,主动式PFC,1.5米,
65,骨伽金牌模组电源高效静音电脑电源GEX额定650W,10023173356846,5.5kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,GEX750,100-240V,支持温控,,160*150*86mm,2,,,支持宽幅,CCC认证,5年,麦东数码专营店,,骨伽COUGAR,ATX电源,12cm,6个,2个,6个,4个,20+4pin,主动式PFC,1.5m,
66,酷冷至尊金牌全模组电源（550W650W750W850w1000w+可选）宽幅ATX机箱电源全模组550w金牌80plusMWE550V2,25565775081,2.32kg,中国大陆,标准电源（ATX）,全模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,,100～240Vac,支持温控,,,2.9,2个,,支持宽幅,CCC认证；CE认证,3年,PC大佬DIY电脑旗舰店,不支持风扇启停,酷冷至尊COOLERMASTER,ATX电源,12cm,8个,2个,4个,2个,20+4pin,主动式PFC,1.5米,
67,鑫谷（segotep）战斧400PLUS背线版,45733596018,1.9kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,其他,战斧400PLUS背线版,220v,不支持温控,,,1.5,,,不支持宽幅,CCC认证,3年,新东海晨旭电脑配件专营店,,鑫谷Segotep,ATX电源,,,,,,,,,战斧400PLUS背线版
68,酷冷至尊金牌全模组电源（550W650W750W850w1000w+可选）宽幅ATX机箱电源全模组550w金牌80plusMWE550V2,25565775081,2.32kg,中国大陆,标准电源（ATX）,全模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,,100～240Vac,支持温控,,,2.9,2个,,支持宽幅,CCC认证；CE认证,3年,PC大佬DIY电脑旗舰店,不支持风扇启停,酷冷至尊COOLERMASTER,ATX电源,12cm,8个,2个,4个,2个,20+4pin,主动式PFC,1.5米,
69,鑫谷（segotep）台式机电脑电源（全电压宽幅节能/智能温控/主动式AFP/静音背线主机电源）RP750（额定650W，80PLUS认证电源）,69312646993,2.0kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞，一般家用/办公,白牌（80%）,雷诺者RP650,100~240V,支持温控,,长140mm；宽150mm；高85mm,2KG,2个,,支持宽幅,CCC认证,3年,兆方数码专营店,不支持风扇启停,鑫谷Segotep,ATX电源,12cm,3个,1个,2个,2个,20+4pin,主动式PFC,,
70,,69884942435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
