,商品名称,商品编号,店铺,商品毛重,货号,芯片组,性能,质保期,显存容量,是否支持PCIE4.0,显存类型,接口,散热风扇,显存位宽,型号,灯效,品牌,流处理单元,核心品牌,核心频率,DirectX,电源接口,建议电源,显卡长度,商品产地,适用游戏,核心代号,芯片制程,是否支持显卡交火,风扇调速,散热器类型,产品尺寸（mm）,最大分辨率,显存频率,质保年限
10,影驰影驰（Galaxy）GeForceRTX3080TiHOFPro旗舰级电脑电竞游戏专业显卡,100025121780,,2.23kg,,NVIDIA,游戏,3年质保,12GB,支持PCIE4.0,GDDR6X,PCI-E4.0,三风扇,384bit,RTX3080Ti,RGB,,,NVIDIA,其他,,8pinx2,1000w以上,30.3cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,长303mm；宽133mm；高65mm,,,
11,迪兰AMDRadeonRX6900XT16G,100010318449,,1.72kg,,AMD芯片,游戏，发烧，VRReady,2年质保,16GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,256bit,其他,RGB,迪兰显卡,5120个,AMD,2050-2285MHz,最高支持DirectX12.1,8pinx2,750W,31.1cm,中国大陆,合金装备5，刺客信条，吃鸡游戏,,,,,,311×128×51,8K,16Gbps,
12,华硕（ASUS）TUF-RTX3080-O10G-V2-GAMING+VG259QM,10037572131275,华硕电脑配件专卖店,2.4kg,,NVIDIA,,3年质保,10GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,其他,RTX3080,RGB,华硕ASUS,,NVIDIA,其他,,8pinx2,700W以上,29.99cm,,,,,,,,,,,
13,迪兰AMDRadeonRX6900XT16G,100010318449,,1.72kg,,AMD芯片,游戏，发烧，VRReady,2年质保,16GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,256bit,其他,RGB,迪兰显卡,5120个,AMD,2050-2285MHz,最高支持DirectX12.1,8pinx2,750W,31.1cm,中国大陆,合金装备5，刺客信条，吃鸡游戏,,,,,,311×128×51,8K,16Gbps,
14,网盟（WANGMENG）NVIDIAGeForceRTX,10037795538571,网盟旗舰店,1.0kg,,NVIDIA,游戏，发烧，科学运算，家用/办公，VRReady,3年质保,24GB,支持PCIE4.0,GDDR6X,PCI-E4.0,涡轮风扇,384bit,其他,无光,,,NVIDIA,其他,,8pinx2,700W以上,270cm,,,,,,,,,,,
15,华硕TUF-RX6800XT-O16G-GAMING,100016814118,,2.35kg,,AMD芯片,,3年质保,16GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,RX6800XT,RGB,,,AMD,其他,,8pinx2,700W以上,32cm,中国大陆,,,,,,,,,,
16,影驰影驰（Galaxy）GeForceRTX3060Ti金属大师OC[FG]N卡/电竞专业游戏显卡,100022076298,,1.425kg,,NVIDIA,游戏,3年质保,8GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,其他,无光,,,NVIDIA,其他,,8pinx1,650W以上,31.8cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,
17,耕升（GAINWARD）RTX3080炫光追风系列10GB电脑游戏显卡RTX3080星极红爵蓝爵OC随机发货,10023376834490,耕升旗舰店,1.8kg,,NVIDIA,发烧,3年质保,10GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,320bit,其他,RGB,耕升（GAINWARD）,3584,NVIDIA,其他,最高支持DirectX12.1,8pinx2,700W以上,32.9cm,,无限法则，Apex英雄，战地5,TU102,14纳米,不支持显卡交火,支持调速,风冷,长329mm；宽136mm；高63mm,,,
18,影驰影驰（Galaxy）GeForceRTX3060Ti金属大师OC[FG]N卡/电竞专业游戏显卡,100022076298,,1.425kg,,NVIDIA,游戏,3年质保,8GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,其他,无光,,,NVIDIA,其他,,8pinx1,650W以上,31.8cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,
19,华硕（ASUS）RTX3080,10030907418146,华硕极客盟专卖店,3.5kg,,NVIDIA,,3年质保,10GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,256bit,RTX3080,RGB,华硕ASUS,,NVIDIA,其他,,8pinx2,700W以上,30cm,中国大陆,英雄联盟，孤岛惊魂4，吃鸡游戏,,,,,,,,,
20,影驰影驰（Galaxy）GeForceRTX3070?金属大师?OC[FG]N卡/电竞专业游戏显卡,100011657337,,1.72kg,,NVIDIA,游戏,3年质保,8GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,RTX3070,无光,,,NVIDIA,其他,,8pinx1,650W以上,31.8cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,
21,影驰影驰（Galaxy）GeForceRTX3070?金属大师?OC[FG]N卡/电竞专业游戏显卡,100011657337,,1.72kg,,NVIDIA,游戏,3年质保,8GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,RTX3070,无光,,,NVIDIA,其他,,8pinx1,650W以上,31.8cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,
22,华硕（ASUS）ROGRTX3060Ti/3070TiO8G台式机电脑吃鸡游戏电竞独立显卡TUF-RTX3070-O8G-V2-GAMING,10026578172828,锐星电脑DIY旗舰店,2.0kg,,NVIDIA,,3年质保,8GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,256bit,其他,RGB,华硕ASUS,16,NVIDIA,其他,最高支持DirectX10.0,其他,650W以上,31cm,,英雄联盟，守望先锋，穿越火线,G80,7纳米,不支持显卡交火,支持调速,,,,,
23,迪兰AMDRadeonRX6900XT16G,100010318449,,1.72kg,,AMD芯片,游戏，发烧，VRReady,2年质保,16GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,256bit,其他,RGB,迪兰显卡,5120个,AMD,2050-2285MHz,最高支持DirectX12.1,8pinx2,750W,31.1cm,中国大陆,合金装备5，刺客信条，吃鸡游戏,,,,,,311×128×51,8K,16Gbps,
24,影驰影驰（Galaxy）GeForceRTX3070?金属大师?OC[FG]N卡/电竞专业游戏显卡,100011657337,,1.72kg,,NVIDIA,游戏,3年质保,8GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,RTX3070,无光,,,NVIDIA,其他,,8pinx1,650W以上,31.8cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,
25,技嘉RTX3070GAMINGOC魔鹰\/VISION白色雪鹰锁算力游戏显卡3060ti【魔鹰】3070GAMINGOC-8G2.0,55160907201,技嘉旗舰店,4.0kg,,NVIDIA,游戏，发烧,3年以上质保,8GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,其他,RGB,技嘉GIGABYTE,,NVIDIA,其他,最高支持DirectX12.1,8pin+6pin,650W以上,30cm,,英雄联盟，吃鸡游戏，GTA5,,8纳米,不支持显卡交火,支持调速,风冷,,,,
26,华硕（ASUS）RTX3080,10030907418146,华硕极客盟专卖店,3.5kg,,NVIDIA,,3年质保,10GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,256bit,RTX3080,RGB,华硕ASUS,,NVIDIA,其他,,8pinx2,700W以上,30cm,中国大陆,英雄联盟，孤岛惊魂4，吃鸡游戏,,,,,,,,,
27,华硕（ASUS）TUF-RTX3080-O10G-V2-GAMING+VG259QM,10037572131275,华硕电脑配件专卖店,2.4kg,,NVIDIA,,3年质保,10GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,其他,RTX3080,RGB,华硕ASUS,,NVIDIA,其他,,8pinx2,700W以上,29.99cm,,,,,,,,,,,
28,七彩虹（Colorful）3060TI/2060/3060,10033575684829,智中和电脑配件专营店,2.5kg,,NVIDIA,游戏，发烧，科学运算，家用/办公,3年质保,8GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,RTX3060Ti,RGB,七彩虹COLORFUL,,NVIDIA,其他,,其他,700W以上,32.3cm,,英雄联盟，穿越火线，吃鸡游戏,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,七彩虹（Colorful）2060,59073248181,新东海晨旭电脑配件专营店,2.0kg,2060OCV2,NVIDIA,,3年质保,6GB,不支持PCIE4.0,GDDR6,HDMI，DP,三风扇,其他,其他,无光,七彩虹COLORFUL,,NVIDIA,其他,,其他,500W以上,31cm,中国大陆,吃鸡游戏，Apex英雄,,,,支持调速,,,,,
31,影驰影驰（Galaxy）GeForceRTX3070?金属大师?OC[FG]N卡/电竞专业游戏显卡,100011657337,,1.72kg,,NVIDIA,游戏,3年质保,8GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,RTX3070,无光,,,NVIDIA,其他,,8pinx1,650W以上,31.8cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,
32,七彩虹iGameGeForceRTX3090NeptuneOC,100008667301,,3.66kg,,NVIDIA,发烧,3年质保,24GB,支持PCIE4.0,GDDR6X,PCI-E4.0,其他,384bit,RTX3090,RGB,七彩虹COLORFUL,,NVIDIA,其他,,8pin×3,700W以上,29.5cm,中国大陆,,,,,,水冷,295*150*42,,,
33,华硕（ASUS）TUF-RTX3080-O10G-V2-GAMING+VG259QM,10037572131275,华硕电脑配件专卖店,2.4kg,,NVIDIA,,3年质保,10GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,其他,RTX3080,RGB,华硕ASUS,,NVIDIA,其他,,8pinx2,700W以上,29.99cm,,,,,,,,,,,
34,华硕TUF-RTX3060-O12G-V2-GAMING,100011555183,,1.65kg,,NVIDIA,,3年质保,12GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,192bit,RTX3060,RGB,,,NVIDIA,其他,,8pinx1,650W以上,30cm,中国大陆,,,,,,,,,,
35,七彩虹iGameGeForceRTX3070TiUltraWOC,100011688141,,1.82kg,,NVIDIA,发烧,3年质保,8GB,支持PCIE4.0,GDDR6X,PCI-E4.0,三风扇,256bit,RTX3070Ti,RGB,七彩虹COLORFUL,,NVIDIA,其他,,8pinx2,650W以上,31cm,中国大陆,,,,,,,310*131.5*60mm,,,
36,影驰影驰（Galaxy）GeForceRTX3060Ti金属大师OC[FG]N卡/电竞专业游戏显卡,100022076298,,1.425kg,,NVIDIA,游戏,3年质保,8GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,其他,无光,,,NVIDIA,其他,,8pinx1,650W以上,31.8cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,
37,华硕TUF-RX6800XT-O16G-GAMING,100016814118,,2.35kg,,AMD芯片,,3年质保,16GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,RX6800XT,RGB,,,AMD,其他,,8pinx2,700W以上,32cm,中国大陆,,,,,,,,,,
38,华硕TUF-RX6800XT-O16G-GAMING,100016814118,,2.35kg,,AMD芯片,,3年质保,16GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,RX6800XT,RGB,,,AMD,其他,,8pinx2,700W以上,32cm,中国大陆,,,,,,,,,,
39,技嘉（GIGABYTE）RTX3090GAMINGOC24G猎鹰/魔鹰/雪鹰/超级雕游戏显卡RTX3090GAMINGBOX显卡坞全新盒装,10028965689455,创鑫嘉电脑配件专营店,2.2kg,,NVIDIA,,3年以上质保,24GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,其他,RTX3090,RGB,,,NVIDIA,其他,,其他,700W以上,29cm,其他,,,,,,,,,,
40,微星RTX3080Ti,100022144710,,3.26kg,,NVIDIA,游戏，发烧,3年质保,12GB,支持PCIE4.0,GDDR6X,PCI-E4.0,三风扇,384bit,RTX3080Ti,RGB,微星MSI,,NVIDIA,其他,,8pin×3,700W以上,33.6cm,中国大陆,神作的终极形态,,,,,风冷,336*140*61,,,
41,影驰影驰（Galaxy）GeForceRTX3070?金属大师?OC[FG]N卡/电竞专业游戏显卡,100011657337,,1.72kg,,NVIDIA,游戏,3年质保,8GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,RTX3070,无光,,,NVIDIA,其他,,8pinx1,650W以上,31.8cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,
42,英伟达（NVIDIA）NVIDIAQuadroP620,10023771797408,英伟达比格专卖店,0.547kg,900-5G178-2540-000,NVIDIA,,3年质保,2GB,不支持PCIE4.0,GDDR5,Mini-DP,单风扇,128bit,其他,无光,,512,NVIDIA,其他,,无,300W以上,16.5cm,中国大陆,,,14纳米,不支持显卡交火,支持调速,,,,,
43,微星（MSI）十代酷睿i7,10027331262711,海晨数码专营店,8.0kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,技嘉GV-N2060D6-6GD,100022009674,,0.82kg,,NVIDIA,游戏，家用/办公,3年质保,6GB,不支持PCIE4.0,GDDR6,PCI-E3.0,双风扇,192bit,RTX2060,无光,技嘉GIGABYTE,,NVIDIA,1680MHz,,8pinx1,500W以上,22.4cm,中国,英雄联盟，吃鸡游戏，DOTA2,,,,,风冷,H=41L=224W=121,7680x4320,1400MHz,
45,技嘉GV-N307TAORUSM-8GD,100011909587,,2.68kg,,NVIDIA,,3年以上质保,8GB,支持PCIE4.0,GDDR6X,PCI-E4.0,三风扇,256bit,RTX3070Ti,RGB,技嘉GIGABYTE,,NVIDIA,其他,,其他,700W以上,32.4cm,中国,,,,,,,长324mm；宽142mm；高70mm,,,
46,网盟（WANGMENG）NVIDIAGeForceRTX,10037795538571,网盟旗舰店,1.0kg,,NVIDIA,游戏，发烧，科学运算，家用/办公，VRReady,3年质保,24GB,支持PCIE4.0,GDDR6X,PCI-E4.0,涡轮风扇,384bit,其他,无光,,,NVIDIA,其他,,8pinx2,700W以上,270cm,,,,,,,,,,,
47,技嘉GV-N307TAORUSM-8GD,100011909587,,2.68kg,,NVIDIA,,3年以上质保,8GB,支持PCIE4.0,GDDR6X,PCI-E4.0,三风扇,256bit,RTX3070Ti,RGB,技嘉GIGABYTE,,NVIDIA,其他,,其他,700W以上,32.4cm,中国,,,,,,,长324mm；宽142mm；高70mm,,,
48,华硕TUF-RX6800XT-O16G-GAMING,100016814118,,2.35kg,,AMD芯片,,3年质保,16GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,RX6800XT,RGB,,,AMD,其他,,8pinx2,700W以上,32cm,中国大陆,,,,,,,,,,
49,七彩虹iGameGeForceRTX3060UltraWOC,100011688137,,1.6kg,,NVIDIA,发烧,3年质保,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,RTX3060,RGB,七彩虹COLORFUL,,NVIDIA,其他,,8pinx2,550W以上,31cm,中国大陆,,,,,,,310*131.5*56mm,,,
50,华硕（ASUS）GTX1650S,10029525585565,华硕极客盟专卖店,2.0kg,,NVIDIA,,3年质保,4GB,不支持PCIE4.0,其他,HDMI，DP，DVI,双风扇,其他,GTX1650S,无光,华硕ASUS,,NVIDIA,其他,,其他,400W以上,20.6cm,,英雄联盟，吃鸡游戏，DOTA2,,,,,,,,,
51,技嘉GV-N166SOC-6GD,100009282940,,0.84kg,,NVIDIA,游戏,3年质保,6GB,不支持PCIE4.0,GDDR6,HDMI，DP,双风扇,192bit,其他,无光,,,NVIDIA,其他,,8pinx1,450W以上,22cm,中国,,,,,,,,,,
52,技嘉GV-N2060D6-6GD,100022009674,,0.82kg,,NVIDIA,游戏，家用/办公,3年质保,6GB,不支持PCIE4.0,GDDR6,PCI-E3.0,双风扇,192bit,RTX2060,无光,技嘉GIGABYTE,,NVIDIA,1680MHz,,8pinx1,500W以上,22.4cm,中国,英雄联盟，吃鸡游戏，DOTA2,,,,,风冷,H=41L=224W=121,7680x4320,1400MHz,
53,微星RTX3080Ti,100022144710,,3.26kg,,NVIDIA,游戏，发烧,3年质保,12GB,支持PCIE4.0,GDDR6X,PCI-E4.0,三风扇,384bit,RTX3080Ti,RGB,微星MSI,,NVIDIA,其他,,8pin×3,700W以上,33.6cm,中国大陆,神作的终极形态,,,,,风冷,336*140*61,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,华硕（ASUS）GTX1650S,10029525585565,华硕极客盟专卖店,2.0kg,,NVIDIA,,3年质保,4GB,不支持PCIE4.0,其他,HDMI，DP，DVI,双风扇,其他,GTX1650S,无光,华硕ASUS,,NVIDIA,其他,,其他,400W以上,20.6cm,,英雄联盟，吃鸡游戏，DOTA2,,,,,,,,,
56,影驰GTX1650Ultra大将OCGDDR6台式机电脑电竞游戏吃鸡独立显卡GTX1650SGTX1050Ti骁将4G官方标配,10026961852895,台通电脑DIY专营店,1.5kg,,NVIDIA,游戏,3年质保,4GB,不支持PCIE4.0,其他,HDMI，DP,双风扇,128bit,其他,无光,影驰GALAXY,,NVIDIA,其他,,6pinx1,400W以上,23cm,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,100022804786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,技嘉（GIGABYTE）RTX3070Ti,68006784558,图迈电脑配件专营店,3.0kg,,NVIDIA,,3年以上质保,8GB,支持PCIE4.0,GDDR6X,PCI-E4.0,三风扇,256bit,RTX3070Ti,RGB,,,NVIDIA,其他,最高支持DirectX12.1,8pinx2,650W以上,33cm,,,,,,支持调速,风冷,,,,
60,七彩虹GeForceGTX1650/1050TI台式机电竞游戏组装电脑主机独立显卡1050Ti灵动鲨+500W电源+500G固态,63859736115,京天DIY电脑旗舰店,1.0kg,,NVIDIA,游戏,3年质保,4GB,支持PCIE4.0,GDDR5,HDMI，DP，DVI,双风扇,其他,其他,RGB,七彩虹COLORFUL,,NVIDIA,其他,,无,400W以上,240cm,中国大陆,巫师3，看门狗，仙剑七,,14纳米,不支持显卡交火,不支持调速,,,,,
61,盈通（yeston）6600XT\/6700XT\/6800XTD6台式机游戏独立显卡RX6700XT12G樱瞳花嫁纪念版,10035373768720,奥都数码专营店,1.3kg,,AMD芯片,,2年质保,12GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,192bit,RX6800XT,单光,,,AMD,其他,,8pinx1,700W以上,26.7cm,中国大陆,,,,,,,,,,
62,华硕TUF-RX6800XT-O16G-GAMING,100016814118,,2.35kg,,AMD芯片,,3年质保,16GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,RX6800XT,RGB,,,AMD,其他,,8pinx2,700W以上,32cm,中国大陆,,,,,,,,,,
63,七彩虹（Colorful）战斧GeForceRTX3060,10038551992412,华之硕电脑专营店,2.3kg,,NVIDIA,游戏，发烧,3年质保,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,其他,RGB,,,NVIDIA,其他,,8pinx1,600W以上,31cm,,,,,不支持显卡交火,,,长310mm；宽130mm；高53mm,,,
64,七彩虹（Colorful）战斧GeForceRTX3060,10038551992412,华之硕电脑专营店,2.3kg,,NVIDIA,游戏，发烧,3年质保,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,其他,RGB,,,NVIDIA,其他,,8pinx1,600W以上,31cm,,,,,不支持显卡交火,,,长310mm；宽130mm；高53mm,,,
65,七彩虹iGameGeForceRTX3070TiUltraWOC,100011688141,,1.82kg,,NVIDIA,发烧,3年质保,8GB,支持PCIE4.0,GDDR6X,PCI-E4.0,三风扇,256bit,RTX3070Ti,RGB,七彩虹COLORFUL,,NVIDIA,其他,,8pinx2,650W以上,31cm,中国大陆,,,,,,,310*131.5*60mm,,,
66,七彩虹（Colorful）战斧GeForceRTX3060,10038551992412,华之硕电脑专营店,2.3kg,,NVIDIA,游戏，发烧,3年质保,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,其他,RGB,,,NVIDIA,其他,,8pinx1,600W以上,31cm,,,,,不支持显卡交火,,,长310mm；宽130mm；高53mm,,,
67,华硕（ASUS）TUF-GTX1650-O4GD6-P-GAMING,66315153242,华硕电脑配件专卖店,1.3kg,,NVIDIA,游戏，发烧,3年质保,4GB,不支持PCIE4.0,GDDR6,PCI-E,双风扇,128bit,GTX1650,无光,华硕ASUS,,NVIDIA,其他,,其他,400W以上,11cm,,守望先锋，剑灵，吃鸡游戏,,,,,,长20mm；宽12mm；高4mm,,,
68,七彩虹（Colorful）战斧GeForceRTX3060,10038551992412,华之硕电脑专营店,2.3kg,,NVIDIA,游戏，发烧,3年质保,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,其他,RGB,,,NVIDIA,其他,,8pinx1,600W以上,31cm,,,,,不支持显卡交火,,,长310mm；宽130mm；高53mm,,,
69,讯景（XFX）RX6700XT,10028607639010,讯景旗舰店,2.0kg,,AMD芯片,游戏，发烧，科学运算，家用/办公,2年质保,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,RX6700XT,无光,讯景XFX,,AMD,其他,最高支持DirectX12.1,8pinx2,600W以上,32.3cm,,逆战，CS,,7纳米,不支持显卡交火,支持调速,风冷,,,,
70,七彩虹iGameGeForceRTX3060UltraWOC,100011688137,,1.6kg,,NVIDIA,发烧,3年质保,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,RTX3060,RGB,七彩虹COLORFUL,,NVIDIA,其他,,8pinx2,550W以上,31cm,中国大陆,,,,,,,310*131.5*56mm,,,
71,七彩虹iGameGeForceRTX3060UltraWOC,100011688137,,1.6kg,,NVIDIA,发烧,3年质保,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,RTX3060,RGB,七彩虹COLORFUL,,NVIDIA,其他,,8pinx2,550W以上,31cm,中国大陆,,,,,,,310*131.5*56mm,,,
72,技嘉GV-N2060D6-6GD,100022009674,,0.82kg,,NVIDIA,游戏，家用/办公,3年质保,6GB,不支持PCIE4.0,GDDR6,PCI-E3.0,双风扇,192bit,RTX2060,无光,技嘉GIGABYTE,,NVIDIA,1680MHz,,8pinx1,500W以上,22.4cm,中国,英雄联盟，吃鸡游戏，DOTA2,,,,,风冷,H=41L=224W=121,7680x4320,1400MHz,
73,影驰影驰（Galaxy）GeForceRTX3060Ti金属大师OC[FG]N卡/电竞专业游戏显卡,100022076298,,1.425kg,,NVIDIA,游戏,3年质保,8GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,其他,无光,,,NVIDIA,其他,,8pinx1,650W以上,31.8cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,
74,yeston盈通AMDRadeonRX6800系列16GBGDDR6台式机电脑游戏独立显卡RX6800XT16GD6樱瞳花嫁纪念版,10026026294295,yeston盈通旗舰店,1.4kg,,AMD芯片,发烧,2年质保,16GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,256bit,其他,无光,盈通Yeston,,AMD,其他,,8pinx2,700W以上,31cm,,刺客信条，吃鸡游戏，GTA5,,7纳米,,,风冷,长301mm；宽132mm；高49mm,,,
75,讯景（XFX）RX6700XT,10028607639010,讯景旗舰店,2.0kg,,AMD芯片,游戏，发烧，科学运算，家用/办公,2年质保,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,RX6700XT,无光,讯景XFX,,AMD,其他,最高支持DirectX12.1,8pinx2,600W以上,32.3cm,,逆战，CS,,7纳米,不支持显卡交火,支持调速,风冷,,,,
