,商品名称,商品编号,商品毛重,商品产地,货号,NVMe读速,容量,接口,系列,型号,品牌,顺序写入,顺序读速,闪存类型,缓存,保存温度,工作温度,产品尺寸（mm）,TBW,店铺
11,西部数据WDS100T2B0C,100005926991,40.00g,,,2000-3000MB/s,960GB-1TB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS100T2B0C,西部数据（WesternDigital）,1950MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,600TBW,
12,西部数据（WesternDigital）Gen4技术WD_BLACKSN850NVMeSN8501TB,10025455018856,1.0kg,,,4500MB/s及以上,960GB-1TB,M.2接口(NVMe协议),WD_BLACK系列,WDS100T1X0E,西部数据（WesternDigital）,5300MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高3mm,,西部数码IT专营店
13,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
14,西部数据（WesternDigital）Gen4技术WD_BLACKSN850NVMeSN8501TB,10025455018856,1.0kg,,,4500MB/s及以上,960GB-1TB,M.2接口(NVMe协议),WD_BLACK系列,WDS100T1X0E,西部数据（WesternDigital）,5300MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高3mm,,西部数码IT专营店
15,西部数据WDS500G1X0E,100009210509,40.00g,中国大陆,,4500MB/s及以上,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1X0E,西部数据（WesternDigital）,4100MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,300TBW,
16,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
17,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
18,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
19,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
20,西部数据WDS100T2B0C,100005926991,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,960GB-1TB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS100T2B0C,西部数据（WesternDigital）,1950MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,600TBW,
21,西部数据（WesternDigital）Gen4技术WD_BLACKSN850NVMeSN8501TB,10025455018856,1.0kg,,,4500MB/s及以上,960GB-1TB,M.2接口(NVMe协议),WD_BLACK系列,WDS100T1X0E,西部数据（WesternDigital）,5300MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高3mm,,西部数码IT专营店
22,西部数据（WesternDigital）Gen4技术WD_BLACKSN850NVMeSN8501TB,10025455018856,1.0kg,,,4500MB/s及以上,960GB-1TB,M.2接口(NVMe协议),WD_BLACK系列,WDS100T1X0E,西部数据（WesternDigital）,5300MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高3mm,,西部数码IT专营店
23,西部数据WDS100T1B0E-00B3V0,100025295846,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),WD_BLACK系列,WDS100T1B0E-00B3V0,西部数据（WesternDigital）,2830MB/s,3600MB/s,TLC,无缓存,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,600TBW,
24,西部数据WDS100T2B0C,100005926991,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,960GB-1TB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS100T2B0C,西部数据（WesternDigital）,1950MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,600TBW,
25,西部数据（WesternDigital）Gen4技术WD_BLACKSN850NVMeSN8501TB,10025455018856,1.0kg,,,4500MB/s及以上,960GB-1TB,M.2接口(NVMe协议),WD_BLACK系列,WDS100T1X0E,西部数据（WesternDigital）,5300MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高3mm,,西部数码IT专营店
26,西部数据WDS100T2B0C,100005926991,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,960GB-1TB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS100T2B0C,西部数据（WesternDigital）,1950MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,600TBW,
27,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
28,西部数据（WesternDigital）Gen4技术WD_BLACKSN850NVMeSN8501TB,10025455018856,1.0kg,,,4500MB/s及以上,960GB-1TB,M.2接口(NVMe协议),WD_BLACK系列,WDS100T1X0E,西部数据（WesternDigital）,5300MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高3mm,,西部数码IT专营店
29,金士顿（Kingston）A400笔记本台式机固态硬盘SATA240/480/960固态硬盘SSD金士顿A400系列固态硬盘960G非1T,55284386039,150.00g,,,,960GB-1TB,SATA接口,,,,,,TLC,无缓存,0-70,0-70,2.5英寸,,绿速通旗舰店
30,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
31,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
32,西部数据WDS100T2B0C,100005926991,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,960GB-1TB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS100T2B0C,西部数据（WesternDigital）,1950MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,600TBW,
33,西部数据（WesternDigital）Gen4技术WD_BLACKSN850NVMeSN8501TB,10025455018856,1.0kg,,,4500MB/s及以上,960GB-1TB,M.2接口(NVMe协议),WD_BLACK系列,WDS100T1X0E,西部数据（WesternDigital）,5300MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高3mm,,西部数码IT专营店
34,西部数据（WesternDigital）Gen4技术WD_BLACKSN850NVMeSN8501TB,10025455018856,1.0kg,,,4500MB/s及以上,960GB-1TB,M.2接口(NVMe协议),WD_BLACK系列,WDS100T1X0E,西部数据（WesternDigital）,5300MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高3mm,,西部数码IT专营店
35,CrucialCT500P2SSD8,100013234568,40.00g,墨西哥,,,(480-512)GB,M.2接口(NVMe协议),P2,CT500P2SSD8,,940MB/s,2300MB/s,其他,无缓存,-40°C至85°C,0°C至70°C,长22mm；宽80mm；高2.4mm,150TBW,
36,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
37,西部数据（WesternDigital）Gen4技术WD_BLACKSN850NVMeSN8501TB,10025455018856,1.0kg,,,4500MB/s及以上,960GB-1TB,M.2接口(NVMe协议),WD_BLACK系列,WDS100T1X0E,西部数据（WesternDigital）,5300MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高3mm,,西部数码IT专营店
38,西部数据WDS100T2B0C,100005926991,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,960GB-1TB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS100T2B0C,西部数据（WesternDigital）,1950MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,600TBW,
39,西部数据（WesternDigital）Gen4技术WD_BLACKSN850NVMeSN8501TB,10025455018856,1.0kg,,,4500MB/s及以上,960GB-1TB,M.2接口(NVMe协议),WD_BLACK系列,WDS100T1X0E,西部数据（WesternDigital）,5300MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高3mm,,西部数码IT专营店
40,西部数据（WesternDigital）Gen4技术WD_BLACKSN850NVMeSN8501TB,10025455018856,1.0kg,,,4500MB/s及以上,960GB-1TB,M.2接口(NVMe协议),WD_BLACK系列,WDS100T1X0E,西部数据（WesternDigital）,5300MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高3mm,,西部数码IT专营店
41,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
42,WDKSTPM981A,10020515758537,300.00g,,PCIE,2000-3000MB/s,其他,M.2接口(NVMe协议),,,,,,TLC,512M,-45°Cto85°C,0-70℃运行温度,80.15x22.15x2.38(mm),,WDKST旗舰店
43,西部数据（WesternDigital）Gen4技术WD_BLACKSN850NVMeSN8501TB,10025455018856,1.0kg,,,4500MB/s及以上,960GB-1TB,M.2接口(NVMe协议),WD_BLACK系列,WDS100T1X0E,西部数据（WesternDigital）,5300MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高3mm,,西部数码IT专营店
44,金士顿（Kingston）A400笔记本台式机固态硬盘SATA240/480/960固态硬盘SSD金士顿A400系列固态硬盘960G非1T,55284386039,150.00g,,,,960GB-1TB,SATA接口,,,,,,TLC,无缓存,0-70,0-70,2.5英寸,,绿速通旗舰店
45,西部数据（WesternDigital）Gen4技术WD_BLACKSN850NVMeSN8501TB,10025455018856,1.0kg,,,4500MB/s及以上,960GB-1TB,M.2接口(NVMe协议),WD_BLACK系列,WDS100T1X0E,西部数据（WesternDigital）,5300MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高3mm,,西部数码IT专营店
46,西部数据（WesternDigital）Gen4技术WD_BLACKSN850NVMeSN8501TB,10025455018856,1.0kg,,,4500MB/s及以上,960GB-1TB,M.2接口(NVMe协议),WD_BLACK系列,WDS100T1X0E,西部数据（WesternDigital）,5300MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高3mm,,西部数码IT专营店
47,西部数据（WesternDigital）Gen4技术WD_BLACKSN850NVMeSN8502TB,10025455018857,1.0kg,,,4500MB/s及以上,2TB及以上,M.2接口(NVMe协议),WD_BLACK系列,WDS200T1X0E,西部数据（WesternDigital）,5100MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高3mm,,西部数码IT专营店
48,西部数据（WesternDigital）Gen4技术WD_BLACKSN850NVMeSN8501TB,10025455018856,1.0kg,,,4500MB/s及以上,960GB-1TB,M.2接口(NVMe协议),WD_BLACK系列,WDS100T1X0E,西部数据（WesternDigital）,5300MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高3mm,,西部数码IT专营店
49,,,,,,,,,,,,,,,,,,,,
50,WDKSTPM9A1PCI-E4.0,10028085544558,1.2kg,,PCIE,3000MB/s以上,其他,M.2接口(NVMe协议),,PM9A1256G,,,,TLC,512M,-45°Cto85°C,0-70℃运行温度,80.15x22.15x2.38(mm),,WDKST旗舰店
51,西部数据WDS250G2B0C,100010653792,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(240-256)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS250G2B0C,西部数据（WesternDigital）,950MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,150TBW,
52,CrucialCT500P2SSD8,100013234568,40.00g,墨西哥,,,(480-512)GB,M.2接口(NVMe协议),P2,CT500P2SSD8,,940MB/s,2300MB/s,其他,无缓存,-40°C至85°C,0°C至70°C,长22mm；宽80mm；高2.4mm,150TBW,
53,西部数据WDS500G1B0E-00B3V0,100025295798,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1B0E-00B3V0,西部数据（WesternDigital）,2000MB/s,3600MB/s,TLC,无缓存,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,300TBW,
54,西部数据（WesternDigital）Gen4技术WD_BLACKSN850NVMeSN8501TB,10025455018856,1.0kg,,,4500MB/s及以上,960GB-1TB,M.2接口(NVMe协议),WD_BLACK系列,WDS100T1X0E,西部数据（WesternDigital）,5300MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高3mm,,西部数码IT专营店
55,,,,,,,,,,,,,,,,,,,,
56,西部数据WDS500G1B0E-00B3V0,100025295798,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1B0E-00B3V0,西部数据（WesternDigital）,2000MB/s,3600MB/s,TLC,无缓存,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,300TBW,
57,影驰SATA接口固态硬盘SSD电脑台式机硬盘铁甲战将120G,56155110878,80.00g,,,,其他,SATA接口,铁甲战将,120G,,,,,无缓存,0℃-70℃,0℃-70℃,长100mm；宽100mm；高60mm,,锐世界旗舰店
58,,,,,,,,,,,,,,,,,,,,
59,WDKSTPM981A,10020515758537,300.00g,,PCIE,2000-3000MB/s,其他,M.2接口(NVMe协议),,,,,,TLC,512M,-45°Cto85°C,0-70℃运行温度,80.15x22.15x2.38(mm),,WDKST旗舰店
60,西部数据WDS500G1B0E-00B3V0,100025295798,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1B0E-00B3V0,西部数据（WesternDigital）,2000MB/s,3600MB/s,TLC,无缓存,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,300TBW,
61,西部数据WDS500G1B0E-00B3V0,100025295798,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1B0E-00B3V0,西部数据（WesternDigital）,2000MB/s,3600MB/s,TLC,无缓存,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,300TBW,
62,西部数据WDS500G1X0E,100009210509,40.00g,中国大陆,,4500MB/s及以上,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1X0E,西部数据（WesternDigital）,4100MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,300TBW,
63,三星（SAMSUNG）M.22280NVMePCIe可选,25329632138,9.00g,,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),M.22280PCIe3.0×4NVMe,MZ-V8V500BW,,2600MB/s,3100MB/s,其他,512M,-40-80℃,0-70℃,长80mm；宽22mm；高3.3mm,150TBW,本尚网来数码专营店
64,WDKSTPM981A,10020515758539,300.00g,,PCIE,2000-3000MB/s,其他,M.2接口(NVMe协议),,,,,,TLC,512M,-45°Cto85°C,0-70℃运行温度,80.15x22.15x2.38(mm),,WDKST旗舰店
65,适用三星PM9A1512GBPCIe4.0NVMe固态硬盘ahseckPM981A512G固态PM981A512GBPCIe3.0固态硬盘,10032420100352,100.00g,,,2000-3000MB/s,其他,M.2接口(NVMe协议),,,,3000MB/s,3500MB/s,TLC,512M,-40~85°C,0-70℃,80.15x22.15x2.38(mm),300TBW,ahseck电脑配件旗舰店
66,WDKSTPM981A,10020515758539,300.00g,,PCIE,2000-3000MB/s,其他,M.2接口(NVMe协议),,,,,,TLC,512M,-45°Cto85°C,0-70℃运行温度,80.15x22.15x2.38(mm),,WDKST旗舰店
67,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
68,WDKSTPM981A,10020515758539,300.00g,,PCIE,2000-3000MB/s,其他,M.2接口(NVMe协议),,,,,,TLC,512M,-45°Cto85°C,0-70℃运行温度,80.15x22.15x2.38(mm),,WDKST旗舰店
69,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
70,西部数据WDS500G1B0E-00B3V0,100025295798,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1B0E-00B3V0,西部数据（WesternDigital）,2000MB/s,3600MB/s,TLC,无缓存,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,300TBW,
71,CrucialCT500P2SSD8,100013234568,40.00g,墨西哥,,,(480-512)GB,M.2接口(NVMe协议),P2,CT500P2SSD8,,940MB/s,2300MB/s,其他,无缓存,-40°C至85°C,0°C至70°C,长22mm；宽80mm；高2.4mm,150TBW,
72,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
73,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
74,西部数据WDS500G1X0E,100009210509,40.00g,中国大陆,,4500MB/s及以上,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1X0E,西部数据（WesternDigital）,4100MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,300TBW,
75,西部数据WDS500G1B0E-00B3V0,100025295798,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1B0E-00B3V0,西部数据（WesternDigital）,2000MB/s,3600MB/s,TLC,无缓存,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,300TBW,
76,英睿达(Crucial)美光BX500/P1/P2/P5系列台式机笔记本SSD固态硬盘P51TM.2接口(NVMe协议),10031590588777,1.0kg,,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),P5,P51T,其它,3000MB/s,3400MB/s,,无缓存,0°C至70°C,0°C至70°C,长100mm；宽70mm；高7mm,,武极电脑DIY旗舰店
77,西部数据WDS250G2B0C,100010653792,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(240-256)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS250G2B0C,西部数据（WesternDigital）,950MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,150TBW,
78,CrucialCT500P2SSD8,100013234568,40.00g,墨西哥,,,(480-512)GB,M.2接口(NVMe协议),P2,CT500P2SSD8,,940MB/s,2300MB/s,其他,无缓存,-40°C至85°C,0°C至70°C,长22mm；宽80mm；高2.4mm,150TBW,
79,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
80,西部数据（WesternDigital）Gen4技术WD_BLACKSN850NVMeSN8501TB,10025455018856,1.0kg,,,4500MB/s及以上,960GB-1TB,M.2接口(NVMe协议),WD_BLACK系列,WDS100T1X0E,西部数据（WesternDigital）,5300MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高3mm,,西部数码IT专营店
81,西部数据WDS500G3X0C-00SJG0,100003226990,45.00g,泰国、马来西亚、中国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G3X0C-00SJG0,西部数据（WesternDigital）,2600MB/s,3430MB/s,TLC,512M,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,300TBW,
82,CrucialCT500P2SSD8,100013234568,40.00g,墨西哥,,,(480-512)GB,M.2接口(NVMe协议),P2,CT500P2SSD8,,940MB/s,2300MB/s,其他,无缓存,-40°C至85°C,0°C至70°C,长22mm；宽80mm；高2.4mm,150TBW,
83,西部数据WDS100T2B0C,100005926991,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,960GB-1TB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS100T2B0C,西部数据（WesternDigital）,1950MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,600TBW,
84,西部数据WDS100T2B0C,100005926991,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,960GB-1TB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS100T2B0C,西部数据（WesternDigital）,1950MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,600TBW,
85,三星980980PRO970EVOSSD固态硬盘笔记本台式机电脑M.2接口NVMe协议980500G｜NVMePCIe3.0,67832283906,100.00g,中国大陆,,,(480-512)GB,,980,MZ-V8V500BW,其它,,,QLC,256M,-45°C~85°C,0-70℃运行温度,长100mm；宽69.85mm；高6.8mm,150TBW,灵竞DIY旗舰店
